releaseDate,aoi,NONE,D0,D1,D2,D3,D4,validStart,validEnd,domStatisticFormatID
2015/6/30,TOTAL,58.29,41.71,23.25,13,5.64,2.39,2015/6/30,2015/7/6,1
2015/7/7,TOTAL,59.47,40.53,24.59,14.35,6.24,2.39,2015/7/7,2015/7/13,1
2015/7/14,TOTAL,60.6,39.4,25.12,14.64,6.25,2.36,2015/7/14,2015/7/20,1
2015/7/21,TOTAL,60.6,39.4,24.91,14.01,6.25,2.36,2015/7/21,2015/7/27,1
2015/7/28,TOTAL,55.81,44.19,24.82,14.38,7.36,2.36,2015/7/28,2015/8/3,1
2015/8/4,TOTAL,52.97,47.03,26.02,14.62,7.37,2.36,2015/8/4,2015/8/10,1
2015/8/11,TOTAL,51.65,48.35,27.52,14.97,7.69,2.51,2015/8/11,2015/8/17,1
2015/8/18,TOTAL,50.51,49.49,27.92,15.26,7.88,2.51,2015/8/18,2015/8/24,1
2015/8/25,TOTAL,50.78,49.22,27.98,15.14,9.18,2.51,2015/8/25,2015/8/31,1
2015/9/1,TOTAL,50.12,49.88,28.4,15.69,8.97,2.51,2015/9/1,2015/9/7,1
2015/9/8,TOTAL,48,52,28.14,16.44,9.14,2.51,2015/9/8,2015/9/14,1
2015/9/15,TOTAL,47.52,52.48,28,16.4,9.35,2.51,2015/9/15,2015/9/21,1
2015/9/22,TOTAL,47.25,52.75,26.93,16.57,9.49,2.51,2015/9/22,2015/9/28,1
2015/9/29,TOTAL,47.02,52.98,26.82,16.82,9.58,2.51,2015/9/29,2015/10/5,1
