,lengthType,perType,reportPercent,truth,type,uuid
0,0,1,45,50,0,127c8de9-0c97-4083-9fee-6db90fc19e8b
1,1,2,93,92,1,127c8de9-0c97-4083-9fee-6db90fc19e8b
2,1,1,50,39,2,fb8fefc7-2285-4b99-9b8f-9ff66c480a8b
3,1,0,15,20,0,127c8de9-0c97-4083-9fee-6db90fc19e8b
4,1,0,25,24,0,0bbcbe52-a308-4462-8860-2f2fcd29fbf5
5,2,0,10,9,2,fb8fefc7-2285-4b99-9b8f-9ff66c480a8b
6,0,2,80,83,2,127c8de9-0c97-4083-9fee-6db90fc19e8b
7,1,2,70,66,1,0bbcbe52-a308-4462-8860-2f2fcd29fbf5
8,2,0,5,5,2,0bbcbe52-a308-4462-8860-2f2fcd29fbf5
9,2,0,15,15,2,0bbcbe52-a308-4462-8860-2f2fcd29fbf5
10,2,1,60,54,1,fb8fefc7-2285-4b99-9b8f-9ff66c480a8b
11,0,0,10,10,1,fb8fefc7-2285-4b99-9b8f-9ff66c480a8b
12,0,2,90,86,2,0bbcbe52-a308-4462-8860-2f2fcd29fbf5
13,0,0,15,6,1,fb8fefc7-2285-4b99-9b8f-9ff66c480a8b
14,1,1,45,44,2,127c8de9-0c97-4083-9fee-6db90fc19e8b
15,0,0,20,23,1,127c8de9-0c97-4083-9fee-6db90fc19e8b
16,1,0,24,25,0,127c8de9-0c97-4083-9fee-6db90fc19e8b
17,1,2,73,69,1,127c8de9-0c97-4083-9fee-6db90fc19e8b
18,1,1,50,50,2,0bbcbe52-a308-4462-8860-2f2fcd29fbf5
19,1,0,25,24,0,fb8fefc7-2285-4b99-9b8f-9ff66c480a8b
20,2,2,98,94,0,fb8fefc7-2285-4b99-9b8f-9ff66c480a8b
21,0,2,60,72,2,0bbcbe52-a308-4462-8860-2f2fcd29fbf5
22,1,2,80,72,1,127c8de9-0c97-4083-9fee-6db90fc19e8b
23,0,2,95,72,2,fb8fefc7-2285-4b99-9b8f-9ff66c480a8b
24,2,2,80,76,0,0bbcbe52-a308-4462-8860-2f2fcd29fbf5
25,2,0,24,21,2,127c8de9-0c97-4083-9fee-6db90fc19e8b
26,0,0,15,17,1,0bbcbe52-a308-4462-8860-2f2fcd29fbf5
27,0,0,25,22,1,127c8de9-0c97-4083-9fee-6db90fc19e8b
28,0,1,75,65,0,0bbcbe52-a308-4462-8860-2f2fcd29fbf5
29,1,1,50,45,2,fb8fefc7-2285-4b99-9b8f-9ff66c480a8b
30,1,2,95,84,1,fb8fefc7-2285-4b99-9b8f-9ff66c480a8b
31,0,2,99,96,2,fb8fefc7-2285-4b99-9b8f-9ff66c480a8b
32,0,1,60,66,0,0bbcbe52-a308-4462-8860-2f2fcd29fbf5
33,1,1,40,41,2,0bbcbe52-a308-4462-8860-2f2fcd29fbf5
34,2,0,25,33,2,0bbcbe52-a308-4462-8860-2f2fcd29fbf5
35,1,0,20,17,0,fb8fefc7-2285-4b99-9b8f-9ff66c480a8b
36,1,1,70,60,2,0bbcbe52-a308-4462-8860-2f2fcd29fbf5
37,2,1,50,47,1,0bbcbe52-a308-4462-8860-2f2fcd29fbf5
38,0,0,20,19,1,127c8de9-0c97-4083-9fee-6db90fc19e8b
39,1,0,5,0,0,fb8fefc7-2285-4b99-9b8f-9ff66c480a8b
40,1,2,90,84,1,0bbcbe52-a308-4462-8860-2f2fcd29fbf5
41,0,2,92,88,2,127c8de9-0c97-4083-9fee-6db90fc19e8b
42,2,1,45,45,1,127c8de9-0c97-4083-9fee-6db90fc19e8b
43,1,1,40,38,2,fb8fefc7-2285-4b99-9b8f-9ff66c480a8b
44,2,1,40,40,1,0bbcbe52-a308-4462-8860-2f2fcd29fbf5
45,2,0,35,31,2,127c8de9-0c97-4083-9fee-6db90fc19e8b
46,2,1,70,60,1,fb8fefc7-2285-4b99-9b8f-9ff66c480a8b
47,0,2,90,74,2,fb8fefc7-2285-4b99-9b8f-9ff66c480a8b
48,2,0,16,15,2,fb8fefc7-2285-4b99-9b8f-9ff66c480a8b
49,2,0,25,22,2,fb8fefc7-2285-4b99-9b8f-9ff66c480a8b
50,2,2,92,96,0,127c8de9-0c97-4083-9fee-6db90fc19e8b
51,2,1,60,56,1,fb8fefc7-2285-4b99-9b8f-9ff66c480a8b
52,2,1,75,65,1,0bbcbe52-a308-4462-8860-2f2fcd29fbf5
53,1,1,53,53,2,127c8de9-0c97-4083-9fee-6db90fc19e8b
54,1,2,90,94,1,fb8fefc7-2285-4b99-9b8f-9ff66c480a8b
55,1,2,100,94,1,0bbcbe52-a308-4462-8860-2f2fcd29fbf5
56,0,1,40,46,0,fb8fefc7-2285-4b99-9b8f-9ff66c480a8b
57,0,1,50,48,0,0bbcbe52-a308-4462-8860-2f2fcd29fbf5
58,0,2,90,91,2,0bbcbe52-a308-4462-8860-2f2fcd29fbf5
59,0,1,43,39,0,127c8de9-0c97-4083-9fee-6db90fc19e8b
60,0,1,60,61,0,fb8fefc7-2285-4b99-9b8f-9ff66c480a8b
61,0,1,50,47,0,fb8fefc7-2285-4b99-9b8f-9ff66c480a8b
62,2,1,70,66,1,127c8de9-0c97-4083-9fee-6db90fc19e8b
63,2,1,38,39,1,127c8de9-0c97-4083-9fee-6db90fc19e8b
64,0,0,15,20,1,0bbcbe52-a308-4462-8860-2f2fcd29fbf5
65,1,1,55,50,2,127c8de9-0c97-4083-9fee-6db90fc19e8b
66,0,0,25,9,1,fb8fefc7-2285-4b99-9b8f-9ff66c480a8b
67,0,1,75,66,0,127c8de9-0c97-4083-9fee-6db90fc19e8b
68,2,2,85,82,0,fb8fefc7-2285-4b99-9b8f-9ff66c480a8b
69,2,2,95,97,0,0bbcbe52-a308-4462-8860-2f2fcd29fbf5
70,2,2,85,76,0,127c8de9-0c97-4083-9fee-6db90fc19e8b
71,2,0,14,13,2,127c8de9-0c97-4083-9fee-6db90fc19e8b
72,0,0,15,12,1,0bbcbe52-a308-4462-8860-2f2fcd29fbf5
73,2,2,85,83,0,127c8de9-0c97-4083-9fee-6db90fc19e8b
74,0,2,90,82,2,127c8de9-0c97-4083-9fee-6db90fc19e8b
75,1,0,15,12,0,0bbcbe52-a308-4462-8860-2f2fcd29fbf5
76,2,2,80,81,0,fb8fefc7-2285-4b99-9b8f-9ff66c480a8b
77,1,0,5,4,0,0bbcbe52-a308-4462-8860-2f2fcd29fbf5
78,1,2,99,96,1,fb8fefc7-2285-4b99-9b8f-9ff66c480a8b
79,1,0,35,29,0,127c8de9-0c97-4083-9fee-6db90fc19e8b
80,2,2,80,72,0,0bbcbe52-a308-4462-8860-2f2fcd29fbf5
